Time:8712,AccPitch:112.20, AccRoll:103.19
Time:8718,AccPitch:111.66, AccRoll:102.52
Time:8724,AccPitch:110.42, AccRoll:101.93
Time:8730,AccPitch:109.70, AccRoll:101.60
Time:8736,AccPitch:109.53, AccRoll:101.37
Time:8742,AccPitch:109.68, AccRoll:101.79
Time:8748,AccPitch:110.30, AccRoll:102.07
Time:8754,AccPitch:111.12, AccRoll:102.58
Time:8760,AccPitch:111.29, AccRoll:101.96
Time:8766,AccPitch:110.52, AccRoll:102.02
Time:8771,AccPitch:110.22, AccRoll:101.95
Time:8777,AccPitch:111.52, AccRoll:102.27
Time:8783,AccPitch:112.04, AccRoll:103.02
Time:8789,AccPitch:110.71, AccRoll:102.48
Time:8795,AccPitch:110.34, AccRoll:102.04
Time:8801,AccPitch:112.14, AccRoll:102.97
Time:8807,AccPitch:111.06, AccRoll:101.94
Time:8813,AccPitch:109.80, AccRoll:101.34
Time:8819,AccPitch:-045.00, AccRoll:-045.00
Time:8825,AccPitch:159.99, AccRoll:-175.20
Time:8831,AccPitch:161.18, AccRoll:-177.01
Time:8837,AccPitch:146.06, AccRoll:135.00
Time:8842,AccPitch:146.78, AccRoll:135.00
Time:8848,AccPitch:135.98, AccRoll:135.00
Time:8854,AccPitch:179.54, AccRoll:133.36
Time:8860,AccPitch:-179.97, AccRoll:118.00
Time:8866,AccPitch:154.89, AccRoll:123.38
Time:8872,AccPitch:132.92, AccRoll:115.07
Time:8878,AccPitch:116.43, AccRoll:116.67
Time:8884,AccPitch:014.79, AccRoll:068.97
Time:8890,AccPitch:124.13, AccRoll:103.55
Time:8896,AccPitch:118.13, AccRoll:104.85
Time:8902,AccPitch:098.18, AccRoll:094.04
Time:8907,AccPitch:076.04, AccRoll:084.92
Time:8913,AccPitch:105.12, AccRoll:098.95
Time:8919,AccPitch:088.45, AccRoll:089.34
Time:8925,AccPitch:046.82, AccRoll:069.63
Time:8931,AccPitch:052.13, AccRoll:067.25
Time:8937,AccPitch:038.27, AccRoll:069.85
Time:8943,AccPitch:062.08, AccRoll:075.55
Time:8949,AccPitch:069.24, AccRoll:077.95
Time:8955,AccPitch:098.86, AccRoll:096.73
Time:8960,AccPitch:105.36, AccRoll:104.20
Time:8966,AccPitch:106.07, AccRoll:106.27
Time:8972,AccPitch:103.83, AccRoll:103.00
Time:8978,AccPitch:108.33, AccRoll:105.79
Time:8984,AccPitch:114.01, AccRoll:109.93
Time:8990,AccPitch:117.14, AccRoll:110.79
Time:8996,AccPitch:116.54, AccRoll:108.58
