Time:7958,AccPitch:108.37, AccRoll:100.81
Time:7964,AccPitch:108.35, AccRoll:100.53
Time:7970,AccPitch:108.20, AccRoll:100.52
Time:7976,AccPitch:108.33, AccRoll:100.61
Time:7982,AccPitch:109.04, AccRoll:101.22
Time:7988,AccPitch:109.68, AccRoll:101.51
Time:7994,AccPitch:109.89, AccRoll:101.48
Time:8000,AccPitch:109.70, AccRoll:101.54
Time:8006,AccPitch:109.37, AccRoll:101.11
Time:8011,AccPitch:109.42, AccRoll:101.02
Time:8017,AccPitch:108.35, AccRoll:100.76
Time:8023,AccPitch:110.21, AccRoll:101.66
Time:8029,AccPitch:109.60, AccRoll:101.92
Time:8035,AccPitch:108.73, AccRoll:100.81
Time:8041,AccPitch:109.40, AccRoll:101.40
Time:8047,AccPitch:108.35, AccRoll:100.88
Time:8053,AccPitch:108.84, AccRoll:100.90
Time:8059,AccPitch:109.11, AccRoll:101.36
Time:8064,AccPitch:109.03, AccRoll:100.99
Time:8070,AccPitch:109.78, AccRoll:101.72
Time:8076,AccPitch:109.77, AccRoll:101.46
Time:8082,AccPitch:110.96, AccRoll:102.15
Time:8088,AccPitch:107.98, AccRoll:100.54
Time:8094,AccPitch:108.33, AccRoll:100.59
Time:8100,AccPitch:108.85, AccRoll:100.64
Time:8106,AccPitch:109.32, AccRoll:100.95
Time:8112,AccPitch:109.41, AccRoll:101.09
Time:8118,AccPitch:109.54, AccRoll:101.42
Time:8123,AccPitch:109.06, AccRoll:101.21
Time:8129,AccPitch:109.33, AccRoll:101.46
Time:8135,AccPitch:109.31, AccRoll:101.48
Time:8141,AccPitch:108.59, AccRoll:100.66
Time:8147,AccPitch:109.33, AccRoll:101.66
Time:8153,AccPitch:108.82, AccRoll:101.05
Time:8159,AccPitch:108.75, AccRoll:100.70
Time:8165,AccPitch:109.89, AccRoll:101.73
Time:8171,AccPitch:109.50, AccRoll:101.24
Time:8176,AccPitch:108.70, AccRoll:100.76
Time:8182,AccPitch:109.77, AccRoll:101.54
Time:8188,AccPitch:107.32, AccRoll:100.10
Time:8194,AccPitch:109.65, AccRoll:101.77
Time:8200,AccPitch:108.65, AccRoll:100.65
Time:8206,AccPitch:108.40, AccRoll:100.70
Time:8212,AccPitch:111.25, AccRoll:102.23
Time:8218,AccPitch:109.30, AccRoll:101.41
Time:8224,AccPitch:109.28, AccRoll:101.32
Time:8230,AccPitch:108.89, AccRoll:101.05
Time:8235,AccPitch:109.06, AccRoll:101.25
Time:8241,AccPitch:108.52, AccRoll:100.75
Time:8247,AccPitch:109.68, AccRoll:101.40
Time:8253,AccPitch:109.44, AccRoll:101.47
Time:8259,AccPitch:109.51, AccRoll:101.17
Time:8265,AccPitch:109.17, AccRoll:101.31
